Symbol|Security Name|Financial Status
EQIX27|Equinix, Inc. 0.250% Senior Notes due 2027|N
EQIX33|Equinix, Inc. 1.000% Senior Notes due 2033|N
FISV25|Fiserv, Inc. 2.250% Senior Notes due 2025|S
FISV27|Fiserv, Inc. 1.125% Senior Notes due 2027|S
FISV30|Fiserv, Inc. 1.625% Senior Notes due 2030|S
FISV31|Fiserv, Inc. 3.000% Senior Notes due 2031|S
FISV31A|Fiserv, Inc. 4.500% Senior Notes due 2031|S
HON24A|Honeywell International Inc. 0.000% Senior Notes due 2024|N
HON27|Honeywell International Inc. 3.500% Senior Notes due 2027|N
HON28A|Honeywell International Inc. 2.250% Notes due 2028|N
HON32|Honeywell International Inc. 0.750% Senior Notes due 2032|N
HON32A|Honeywell International Inc. 3.750% Senior Notes due 2032|N
HON34|Honeywell International Inc. 4.125% Senior Notes due 2034|N
KHC25|Kraft Heinz Foods Company Floating Rate Senior Notes due 2025|N
MDLZ27|Mondelez International, Inc. 1.625% Notes due 2027|N
MDLZ28|Mondelez International, Inc. 0.250% Notes due 2028|N
MDLZ33|Mondelez International, Inc. 0.750% Notes due 2033|N
MDLZ35|Mondelez International, Inc. 2.375% Notes due 2035|N
MDLZ35A|Mondelez International, Inc. 4.500% Notes due 2035|N
MDLZ41|Mondelez International, Inc. 1.375% Notes due 2041|N
MDLZ45|Mondelez International, Inc. 3.875% Notes due 2045|N
MELI26|MercadoLibre, Inc. 2.375% Sustainability Notes due 2026|N
MELI31|MercadoLibre, Inc. 3.125% Notes due 2031|N
MSFT28|Microsoft Corporation 3.125% Notes due 2028|N
MSFT33|Microsoft Corporation 2.625% Notes due 2033|N
NDAQ29|Nasdaq, Inc. 1.75% Senior Notes Due 2029|N
NDAQ30|Nasdaq, Inc. 0.875% Notes due 2030|N
NDAQ32|Nasdaq, Inc. 4.500% Senior Notes due 2032|N
NDAQ33|Nasdaq, Inc. 0.900% Senior Notes due 2033|N
PCAR26|PACCAR Financial Corp. 1.100% Fixed Medium-Term Note, Series P Due May 11, 2026|N
PEP24|PepsiCo, Inc. 0.250% Senior Notes due 2024|N
PEP26|PepsiCo, Inc. Senior Notes Due 2026|N
PEP27|PepsiCo, Inc. Senior Notes 2027|N
PEP28|PepsiCo, Inc. Senior Notes Due 2028|N
PEP28A|PepsiCo, Inc. 0.500% Senior Notes due 2028|N
PEP29|PepsiCo, Inc. 3.200% Senior Notes due 2029|N
PEP31|PepsiCo, Inc. Senior Notes 2031|N
PEP32|PepsiCo, Inc. 0.400% Senior Notes due 2032|N
PEP33|PepsiCo, Inc. 0.750% Senior Notes due 2033|N
PEP34|PepsiCo, Inc. 3.550% Senior Notes due 2034|N
PEP39|PepsiCo, Inc. Senior Notes due 2039|N
PEP50|PepsiCo, Inc. 1.050% Senior Notes due 2050|N
VOD24|Vodafone Group Plc 3.750% Notes due January 2024|N
VOD24A|Vodafone Group Plc Floating Rate Notes due January 2024|N
VOD25|Vodafone Group Plc 4.125% Notes due May 2025|N
VOD28|Vodafone Group Plc 4.375% Notes due May 2028|N
VOD32|Vodafone Group Plc 6.250% Notes due November 2032|N
VOD37|Vodafone Group Plc 6.150% Notes due February 2037|N
VOD38|Vodafone Group Plc 5.000% Notes due May 2038|N
VOD43|Vodafone Group Plc 4.375% Notes due February 2043|N
VOD48|Vodafone Group Plc 5.25% Notes due May 2048|N
VOD49|Vodafone Group Plc 4.875% Notes due June 2049|N
VOD50|Vodafone Group Plc 4.25% Notes due September 2050|N
VOD53|Vodafone Group Plc 5.625% Notes due 2/10/2053|N
VOD59|Vodafone Group Plc 5.125%Notes due June 2059|N
VOD63|Vodafone Group Plc 5.750% Notes due 2/10/2063|N
VOD79|Vodafone Group Plc Capital Securities due April 2079|N
VOD81A|Vodafone Group Plc U.S.$500,000,000 NC5.25 Capital Securities Due 2081|N
VOD81B|Vodafone Group Plc U.S.$1,000,000,000 NC10 Capital Securities Due 2081|N
VOD81C|Vodafone Group Plc U.S.$950,000,000 NC30 Capital Securities Due 2081|N
WBA25|Walgreens Boots Alliance, Inc. 3.600% Notes due 2025|N
WBA26|Walgreens Boots Alliance, Inc. 2.125% Notes due 2026|N
File Creation Time: 0728202321:32|||||
